typeID,groupID,typeName,mass,volume,capacity,portionSize,marketGroupID,,,,,
246,86,Multifrequency S,1,1,0.00E+00,1,102,,,,,
247,86,Radio M,1,1,0.00E+00,1,103,,,,,
248,86,Microwave M,1,1,0.00E+00,1,103,,,,,
249,86,Infrared M,1,1,0.00E+00,1,103,,,,,
250,86,Standard M,1,1,0.00E+00,1,103,,,,,
251,86,Ultraviolet M,1,1,0.00E+00,1,103,,,,,
252,86,Xray M,1,1,0.00E+00,1,103,,,,,
253,86,Gamma M,1,1,0.00E+00,1,103,,,,,
254,86,Multifrequency M,1,1,0.00E+00,1,103,,,,,
255,86,Radio L,1,1,0.00E+00,1,105,,,,,
256,86,Microwave L,1,1,0.00E+00,1,105,,,,,
257,86,Infrared L,1,1,0.00E+00,1,105,,,,,
258,86,Standard L,1,1,0.00E+00,1,105,,,,,
259,86,Ultraviolet L,1,1,0.00E+00,1,105,,,,,
260,86,Xray L,1,1,0.00E+00,1,105,,,,,
261,86,Gamma L,1,1,0.00E+00,1,105,,,,,
262,86,Multifrequency L,1,1,0.00E+00,1,105,,,,,
263,87,Cap Booster 25,2.5,1,100,10,139,,,,,
264,87,Cap Booster 50,5,2,100,10,139,,,,,
265,1158,Heavy Defender Missile I,1000,0.03,0.00E+00,100,116,,,,,
266,387,Scourge Rocket,100,0.005,0.00E+00,100,922,,,,,
267,89,Scourge Torpedo,1500,0.05,0.00E+00,100,923,,,,,
269,394,Mjolnir Auto-Targeting Light Missile I,700,0.015,0.00E+00,100,914,,,,,
270,92,Python Mine,1,0.15,0.00E+00,10,None,,,,,
377,38,Small Shield Extender I,0.00E+00,5,0.00E+00,1,605,,,,,
380,38,Small Shield Extender II,0.00E+00,5,0.00E+00,1,605,,,,,
393,39,Shield Recharger I,0.00E+00,5,1,1,126,,,,,
394,39,Shield Recharger II,0.00E+00,5,1,1,126,,,,,
399,40,Small Shield Booster I,0.00E+00,5,0.00E+00,1,609,,,,,
400,40,Small Shield Booster II,0.00E+00,5,0.00E+00,1,609,,,,,
405,41,'Micro' Remote Shield Booster,0.00E+00,2.5,0.00E+00,1,603,,,,,
406,41,Micro Remote Shield Booster II,0.00E+00,2.5,0.00E+00,1,604,,,,,
421,43,'Basic' Capacitor Recharger,1,5,0.00E+00,1,665,,,,,
434,46,5MN Microwarpdrive I,0.00E+00,10,0.00E+00,1,131,,,,,
438,46,1MN Afterburner II,0.00E+00,5,0.00E+00,1,542,,,,,
439,46,1MN Afterburner I,0.00E+00,5,0.00E+00,1,542,,,,,
440,46,5MN Microwarpdrive II,0.00E+00,10,0.00E+00,1,131,,,,,
442,47,Cargo Scanner I,0.00E+00,5,0.00E+00,1,711,,,,,
443,48,Ship Scanner I,0.00E+00,5,0.00E+00,1,713,,,,,
444,49,Survey Scanner I,0.00E+00,5,0.00E+00,1,714,,,,,
447,52,Warp Scrambler I,0.00E+00,5,0.00E+00,1,1936,,,,,
448,52,Warp Scrambler II,0.00E+00,5,0.00E+00,1,1936,,,,,
450,53,Gatling Pulse Laser I,500,5,1,1,570,,,,,
451,53,Dual Light Pulse Laser I,500,5,1,1,570,,,,,
452,53,Dual Light Beam Laser I,500,5,1,1,567,,,,,
453,53,Small Focused Pulse Laser I,500,5,1,1,570,,,,,
454,53,Small Focused Beam Laser I,500,5,1,1,567,,,,,
455,53,Quad Light Beam Laser I,1000,10,1,1,568,,,,,
456,53,Focused Medium Pulse Laser I,1000,10,1,1,572,,,,,
457,53,Focused Medium Beam Laser I,1000,10,1,1,568,,,,,
458,53,Heavy Pulse Laser I,1000,25,1,1,572,,,,,
459,53,Heavy Beam Laser I,1000,25,1,1,568,,,,,
460,53,Dual Heavy Pulse Laser I,2000,20,1,1,573,,,,,
461,53,Dual Heavy Beam Laser I,2000,50,1,1,569,,,,,
462,53,Mega Pulse Laser I,2000,50,1,1,573,,,,,
463,53,Mega Beam Laser I,2000,50,1,1,569,,,,,
464,53,Tachyon Beam Laser I,2000,50,1,1,569,,,,,
482,54,Miner II,0.00E+00,5,0.00E+00,1,1039,,,,,
483,54,Miner I,0.00E+00,5,0.00E+00,1,1039,,,,,
484,55,125mm Gatling AutoCannon I,500,5,0.5,1,574,,,,,
485,55,150mm Light AutoCannon I,500,5,0.4,1,574,,,,,
486,55,200mm AutoCannon I,500,5,0.3,1,574,,,,,
487,55,250mm Light Artillery Cannon I,500,5,0.1,1,577,,,,,
488,55,280mm Howitzer Artillery I,500,5,0.05,1,577,,,,,
489,55,Dual 180mm AutoCannon I,12.5,10,2.5,1,575,,,,,
490,55,220mm Vulcan AutoCannon I,1000,10,2,1,575,,,,,
491,55,425mm AutoCannon I,1000,10,1.5,1,575,,,,,
492,55,650mm Artillery Cannon I,125,25,0.5,1,578,,,,,
493,55,720mm Howitzer Artillery I,50,25,0.25,1,578,,,,,
494,55,Dual 425mm AutoCannon I,200,20,5,1,576,,,,,
495,55,Dual 650mm Repeating Cannon I,2000,50,4,1,576,,,,,
496,55,800mm Repeating Cannon I,75,25,3,1,576,,,,,
497,55,1200mm Artillery Cannon I,2000,50,1,1,579,,,,,
498,55,1400mm Howitzer Artillery I,2000,50,0.5,1,579,,,,,
499,509,Light Missile Launcher I,0.00E+00,5,0.6,1,640,,,,,
501,510,Heavy Missile Launcher I,0.00E+00,10,0.9,1,642,,,,,
503,508,Torpedo Launcher I,0.00E+00,20,1.5,1,644,,,,,
506,767,'Basic' Capacitor Power Relay,20,5,0.00E+00,1,667,,,,,
508,770,'Basic' Shield Flux Coil,20,5,0.00E+00,1,687,,,,,
509,768,'Basic' Capacitor Flux Coil,20,5,0.00E+00,1,666,,,,,
518,59,'Basic' Gyrostabilizer,0.00E+00,5,0.00E+00,1,646,,,,,
519,59,Gyrostabilizer II,0.00E+00,5,0.00E+00,1,646,,,,,
520,59,Gyrostabilizer I,0.00E+00,5,0.00E+00,1,646,,,,,
521,60,'Basic' Damage Control,5000,5,0.00E+00,1,615,,,,,
522,61,'Micro' Cap Battery,0.00E+00,2.5,0.00E+00,1,702,,,,,
523,62,Small Armor Repairer I,500,5,0.00E+00,1,1049,,,,,
524,63,Small Hull Repairer I,1000,12.5,0.00E+00,1,1053,,,,,
526,65,Stasis Webifier I,0.00E+00,5,0.00E+00,1,683,,,,,
527,65,Stasis Webifier II,0.00E+00,5,0.00E+00,1,683,,,,,
529,67,Small Remote Capacitor Transmitter I,1000,25,0.00E+00,1,695,,,,,
530,68,Small Energy Nosferatu I,1000,5,0.00E+00,1,692,,,,,
533,71,Small Energy Neutralizer I,2000,5,0.00E+00,1,689,,,,,
561,74,75mm Gatling Rail I,500,5,0.5,1,564,,,,,
562,74,Light Electron Blaster I,500,5,0.5,1,561,,,,,
563,74,Light Ion Blaster I,500,5,0.3,1,561,,,,,
564,74,Light Neutron Blaster I,500,5,0.2,1,561,,,,,
565,74,150mm Railgun I,500,5,0.1,1,564,,,,,
566,74,Heavy Electron Blaster I,2000,10,2.5,1,562,,,,,
567,74,Dual 150mm Railgun I,1000,10,2,1,565,,,,,
568,74,Heavy Neutron Blaster I,1000,25,1,1,562,,,,,
569,74,Heavy Ion Blaster I,1000,10,1.5,1,562,,,,,
570,74,250mm Railgun I,1000,25,0.5,1,565,,,,,
571,74,Electron Blaster Cannon I,2000,50,5,1,563,,,,,
572,74,Dual 250mm Railgun I,2000,20,4,1,566,,,,,
573,74,Neutron Blaster Cannon I,2000,50,2,1,563,,,,,
574,74,425mm Railgun I,2000,50,1,1,566,,,,,
575,74,Ion Blaster Cannon I,2000,50,3,1,563,,,,,
577,76,Medium Capacitor Booster I,0.00E+00,10,32,1,700,,,,,
578,77,Adaptive Invulnerability Field I,10000,20,0.00E+00,1,1696,,,,,
580,80,Burst Jammer I,5000,5,0.00E+00,1,678,,,,,
581,82,Passive Targeter I,2000,25,0.00E+00,1,672,,,,,
582,25,Bantam,1480000,20000,270,1,61,,,,,
583,25,Condor,1100000,18000,130,1,61,,,,,
584,25,Griffin,1056000,19400,260,1,61,,,,,
585,25,Slasher,1075000,17400,120,1,64,,,,,
586,25,Probe,1123000,19500,400,1,64,,,,,
587,25,Rifter,1067000,27289,140,1,64,,,,,
588,237,Reaper,1157000,15800,120,1,1819,,,,,
589,25,Executioner,1090000,28100,115,1,72,,,,,
590,25,Inquisitor,1630000,28700,250,1,72,,,,,
591,25,Tormentor,1080000,24398,130,1,72,,,,,
592,25,Navitas,1450000,10000,280,1,77,,,,,
593,25,Tristan,956000,26500,140,1,77,,,,,
594,25,Incursus,1028000,29500,165,1,77,,,,,
595,25,Gallente Police Ship,2040000,20400,200,1,None,,,,,
596,237,Impairor,1148000,28100,115,1,1816,,,,,
597,25,Punisher,1190000,28600,135,1,72,,,,,
598,25,Breacher,1087000,20000,175,1,64,,,,,
599,25,Burst,1420000,17100,260,1,64,,,,,
600,25,Minmatar Peacekeeper Ship,1200000,12000,80,1,None,,,,,
601,237,Ibis,1163000,15000,125,1,1817,,,,,
602,25,Kestrel,1113000,19700,160,1,61,,,,,
603,25,Merlin,997000,16500,150,1,61,,,,,
605,25,Heron,1150000,18900,400,1,61,,,,,
606,237,Velator,1148000,24500,135,1,1818,,,,,
607,25,Imicus,997000,21500,400,1,77,,,,,
608,25,Atron,1050000,22500,145,1,77,,,,,
609,25,Maulus,1063000,23000,275,1,77,,,,,
613,25,Devourer,1200000,19100,110,1,None,,,,,
614,25,Fury,1200000,26000,180,1,None,,,,,
615,237,Immolator,1148000,17400,115,1,1619,,,,,
616,25,Medusa,1200000,17500,30,1,None,,,,,
617,237,Echo,1157000,17660,120,1,1619,,,,,
618,25,Lynx,1200000,22500,200,1,None,,,,,
619,25,Swordspine,1047000,21120,220,1,None,,,,,
620,26,Osprey,11100000,107000,485,1,75,,,,,
621,26,Caracal,11910000,92000,450,1,75,,,,,
622,26,Stabber,11400000,80000,420,1,73,,,,,
623,26,Moa,12000000,101000,450,1,75,,,,,
624,26,Maller,13150000,118000,480,1,74,,,,,
625,26,Augoror,12870000,115000,465,1,74,,,,,
626,26,Vexor,11100000,115000,480,1,76,,,,,
627,26,Thorax,11280000,112000,465,1,76,,,,,
628,26,Arbitrator,11200000,120000,345,1,74,,,,,
629,26,Rupture,12200000,96000,450,1,73,,,,,
630,26,Bellicose,11550000,85000,315,1,73,,,,,
631,26,Scythe,11110000,89000,475,1,73,,,,,
632,26,Blackbird,13190000,96000,305,1,75,,,,,
633,26,Celestis,12070000,116000,320,1,76,,,,,
634,26,Exequror,11020000,113000,495,1,76,,,,,
635,26,Opux Luxury Yacht,13075000,115000,1750,1,1699,,,,,
638,27,Raven,99300000,486000,665,1,80,,,,,
639,27,Tempest,99500000,450000,600,1,78,,,,,
640,27,Scorpion,103600000,468000,550,1,80,,,,,
641,27,Megathron,98400000,486000,675,1,81,,,,,
642,27,Apocalypse,97100000,495000,675,1,79,,,,,
643,27,Armageddon,105200000,486000,600,1,79,,,,,
644,27,Typhoon,100600000,414000,625,1,78,,,,,
645,27,Dominix,100250000,454500,600,1,81,,,,,
648,28,Badger,10650000,250000,3900,1,84,,,,,
649,28,Tayra,13000000,270000,7300,1,84,,,,,
650,28,Nereus,11250000,240000,2700,1,83,,,,,
651,28,Hoarder,10625000,400000,500,1,82,,,,,
652,28,Mammoth,11500000,255000,5500,1,82,,,,,
653,28,Wreathe,10000000,225000,2900,1,82,,,,,
654,28,Kryos,12625000,245000,550,1,83,,,,,
655,28,Epithal,12800000,250000,550,1,83,,,,,
656,28,Miasmos,12975000,265000,550,1,83,,,,,
657,28,Iteron Mark V,13500000,275000,5800,1,83,,,,,
670,29,Capsule,32000,1000,0.00E+00,1,None,,,,,
671,30,Erebus,2100000000,145500000,16250,1,815,,,,,
672,31,Caldari Shuttle,1600000,5000,10,1,396,,,,,
681,104,Clone Grade Beta Blueprint,0.00E+00,0.01,0.00E+00,1,None,,,,,
682,104,Clone Grade Gamma Blueprint,0.00E+00,0.01,0.00E+00,1,None,,,,,
683,105,Bantam Blueprint,0.00E+00,0.01,0.00E+00,1,261,,,,,
684,105,Condor Blueprint,0.00E+00,0.01,0.00E+00,1,261,,,,,
685,105,Griffin Blueprint,0.00E+00,0.01,0.00E+00,1,261,,,,,
686,106,Osprey Blueprint,0.00E+00,0.01,0.00E+00,1,275,,,,,
687,106,Caracal Blueprint,0.00E+00,0.01,0.00E+00,1,275,,,,,
688,107,Raven Blueprint,0.00E+00,0.01,0.00E+00,1,280,,,,,
689,105,Slasher Blueprint,0.00E+00,0.01,0.00E+00,1,264,,,,,
690,105,Probe Blueprint,0.00E+00,0.01,0.00E+00,1,264,,,,,
691,105,Rifter Blueprint,0.00E+00,0.01,0.00E+00,1,264,,,,,
692,106,Stabber Blueprint,0.00E+00,0.01,0.00E+00,1,273,,,,,
693,107,Tempest Blueprint,0.00E+00,0.01,0.00E+00,1,278,,,,,
784,134,Miner II Blueprint,0.00E+00,0.01,0.00E+00,1,None,,,,,
785,134,Miner I Blueprint,0.00E+00,0.01,0.00E+00,1,338,,,,,
786,136,Light Missile Launcher I Blueprint,0.00E+00,0.01,0.00E+00,1,340,,,,,
788,136,Heavy Missile Launcher I Blueprint,0.00E+00,0.01,0.00E+00,1,340,,,,,
790,136,Torpedo Launcher I Blueprint,0.00E+00,0.01,0.00E+00,1,340,,,,,
803,166,Mjolnir Cruise Missile Blueprint,1,0.01,0.00E+00,1,1526,,,,,
804,166,Scourge Cruise Missile Blueprint,1,0.01,0.00E+00,1,1526,,,,,
805,166,Inferno Cruise Missile Blueprint,1,0.01,0.00E+00,1,1526,,,,,
806,166,Nova Cruise Missile Blueprint,1,0.01,0.00E+00,1,1526,,,,,
807,166,Nova Heavy Missile Blueprint,1,0.01,0.00E+00,1,1527,,,,,
808,166,Mjolnir Heavy Missile Blueprint,1,0.01,0.00E+00,1,1527,,,,,
809,166,Inferno Heavy Missile Blueprint,1,0.01,0.00E+00,1,1527,,,,,
810,166,Scourge Heavy Missile Blueprint,1,0.01,0.00E+00,1,1527,,,,,
811,166,Scourge Light Missile Blueprint,1,0.01,0.00E+00,1,1528,,,,,
812,166,Inferno Light Missile Blueprint,1,0.01,0.00E+00,1,1528,,,,,
813,166,Mjolnir Light Missile Blueprint,1,0.01,0.00E+00,1,1528,,,,,
814,166,Nova Light Missile Blueprint,1,0.01,0.00E+00,1,1528,,,,,
819,135,125mm Gatling AutoCannon I Blueprint,0.00E+00,0.01,0.00E+00,1,296,,,,,
820,135,150mm Light AutoCannon I Blueprint,0.00E+00,0.01,0.00E+00,1,296,,,,,
821,135,200mm AutoCannon I Blueprint,0.00E+00,0.01,0.00E+00,1,296,,,,,
822,135,250mm Light Artillery Cannon I Blueprint,0.00E+00,0.01,0.00E+00,1,296,,,,,
823,135,280mm Howitzer Artillery I Blueprint,0.00E+00,0.01,0.00E+00,1,296,,,,,
824,135,Dual 180mm AutoCannon I Blueprint,0.00E+00,0.01,0.00E+00,1,297,,,,,
825,135,220mm Vulcan AutoCannon I Blueprint,0.00E+00,0.01,0.00E+00,1,297,,,,,
826,135,425mm AutoCannon I Blueprint,0.00E+00,0.01,0.00E+00,1,297,,,,,
827,135,650mm Artillery Cannon I Blueprint,0.00E+00,0.01,0.00E+00,1,297,,,,,
828,135,720mm Howitzer Artillery I Blueprint,0.00E+00,0.01,0.00E+00,1,297,,,,,
829,135,Dual 425mm AutoCannon I Blueprint,0.00E+00,0.01,0.00E+00,1,298,,,,,
830,135,Dual 650mm Repeating Cannon I Blueprint,0.00E+00,0.01,0.00E+00,1,298,,,,,
831,135,800mm Repeating Cannon I Blueprint,0.00E+00,0.01,0.00E+00,1,298,,,,,
832,135,1200mm Artillery Cannon I Blueprint,0.00E+00,0.01,0.00E+00,1,298,,,,,
833,135,1400mm Howitzer Artillery I Blueprint,0.00E+00,0.01,0.00E+00,1,298,,,,,
834,133,Gatling Pulse Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,292,,,,,
835,133,Dual Light Pulse Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,292,,,,,
836,133,Dual Light Beam Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,292,,,,,
837,133,Small Focused Pulse Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,292,,,,,
838,133,Small Focused Beam Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,292,,,,,
839,133,Quad Light Beam Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,293,,,,,
840,133,Focused Medium Pulse Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,293,,,,,
841,133,Focused Medium Beam Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,293,,,,,
842,133,Heavy Pulse Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,293,,,,,
843,133,Heavy Beam Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,293,,,,,
844,133,Dual Heavy Pulse Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,295,,,,,
845,133,Dual Heavy Beam Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,295,,,,,
846,133,Mega Pulse Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,295,,,,,
847,133,Mega Beam Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,295,,,,,
848,133,Tachyon Beam Laser I Blueprint,0.00E+00,0.01,0.00E+00,1,295,,,,,
879,165,Carbonized Lead S Blueprint,0.00E+00,0.01,0.00E+00,1,313,,,,,
880,165,Nuclear S Blueprint,0.00E+00,0.01,0.00E+00,1,313,,,,,
881,165,Proton S Blueprint,0.00E+00,0.01,0.00E+00,1,313,,,,,
882,165,Depleted Uranium S Blueprint,0.00E+00,0.01,0.00E+00,1,313,,,,,
883,165,Titanium Sabot S Blueprint,0.00E+00,0.01,0.00E+00,1,313,,,,,
884,165,Fusion S Blueprint,0.00E+00,0.01,0.00E+00,1,313,,,,,
885,165,Phased Plasma S Blueprint,0.00E+00,0.01,0.00E+00,1,313,,,,,
886,165,EMP S Blueprint,0.00E+00,0.01,0.00E+00,1,313,,,,,
887,165,Carbonized Lead M Blueprint,0.00E+00,0.01,0.00E+00,1,312,,,,,
888,165,Nuclear M Blueprint,0.00E+00,0.01,0.00E+00,1,312,,,,,
889,165,Proton M Blueprint,0.00E+00,0.01,0.00E+00,1,312,,,,,
890,165,Depleted Uranium M Blueprint,0.00E+00,0.01,0.00E+00,1,312,,,,,
891,165,Titanium Sabot M Blueprint,0.00E+00,0.01,0.00E+00,1,312,,,,,
892,165,Fusion M Blueprint,0.00E+00,0.01,0.00E+00,1,312,,,,,
893,165,Phased Plasma M Blueprint,0.00E+00,0.01,0.00E+00,1,312,,,,,
894,165,EMP M Blueprint,0.00E+00,0.01,0.00E+00,1,312,,,,,
895,165,Carbonized Lead L Blueprint,0.00E+00,0.01,0.00E+00,1,309,,,,,
896,165,Nuclear L Blueprint,0.00E+00,0.01,0.00E+00,1,309,,,,,
